Theme,Author,Data
Ethercraft Armour Set and Stash Tab Sale,Community_Team,  Jan 22  2021  7:10:42 AM
Ethercraft Back Attachment,Community_Team,  Jan 21  2021  5:15:01 AM
Ethercraft Weapon Effect,Community_Team,  Jan 20  2021  5:30:21 AM
Ethercraft Aura Effect,Community_Team,  Jan 19  2021  6:33:19 AM
The Ritual Brimmed Hat,Community_Team,  Jan 18  2021  5:08:43 AM
What's going on with the Servers?,Chris,  Jan 17  2021  12:18:55 AM
Path of Exile: Echoes of the Atlas Launches Soon,Natalia_GGG,  Jan 15  2021  1:06:44 AM
"Echoes of the Atlas Patch Notes, Item Filter and Passive Tree Information",Natalia_GGG,  Jan 13  2021  4:10:31 AM
Clarifying the Ascendancy Changes,Bex_GGG,  Jan 12  2021  3:47:54 AM
Private Leagues for Path of Exile: Ritual are now available!,Community_Team,  Jan 12  2021  1:39:21 AM
Path of Exile: Echoes of the Atlas FAQ and Q&A Summary,Bex_GGG,  Jan 9  2021  11:49:10 PM
Heist Ends Soon - Get a Free Mystery Box When You Spend Points,Natalia_GGG,  Jan 8  2021  7:07:23 AM
The 3.13.0 Expansion Announcement is Tomorrow!,Community_Team,  Jan 7  2021  12:06:18 AM
Next Week's News Schedule,Community_Team,  Jan 5  2021  1:28:58 AM
Happy New Year! A 2020 Retrospective,Natalia_GGG,  Jan 1  2021  5:00:00 AM
Download the Warlord Mystery Box Soundtrack For Free,Community_Team,  Jan 22  2021  1:18:37 AM
Community Showcase,Community_Team,  Jan 21  2021  2:36:51 AM
Echoes of the Atlas Week One Report,Community_Team,  Jan 19  2021  11:05:56 PM
Echoes of the Atlas Launch Highlights,Community_Team,  Jan 19  2021  2:43:29 AM
The Warlord Mystery Box,Natalia_GGG,  Jan 17  2021  11:59:26 PM
Before we launch Echoes of the Atlas tomorrow,Chris,  Jan 15  2021  3:14:42 AM
Path of Exile: Echoes of the Atlas Gem Information,Natalia_GGG,  Jan 14  2021  1:06:28 AM
Path of Exile: Echoes of the Atlas - Zizaran's Maven Kill Event,Natalia_GGG,  Jan 12  2021  10:46:45 PM
Reworked and Changed Ascendancy Classes in Path of Exile: Echoes of the Atlas,Bex_GGG,  Jan 12  2021  2:23:50 AM
Atlas Passive Trees in Path of Exile: Echoes of the Atlas,Community_Team,  Jan 11  2021  1:41:29 AM
Ritual Challenge Rewards,Natalia_GGG,  Jan 9  2021  12:37:28 AM
3.13.0 Livestream Announcements,Natalia_GGG,  Jan 7  2021  11:05:29 PM
3.13.0 Livestream Twitch Drops,Community_Team,  Jan 6  2021  12:37:58 AM
Past Atlas Expansions: A Recap,Natalia_GGG,  Jan 4  2021  1:00:00 AM
Path of Exile 3.13.0 Announcement Details,Bex_GGG,  Dec 31  2020  3:36:21 AM
A Brief History of the Atlas Lore,Community_Team,  Dec 30  2020  3:44:47 AM
How Patch Notes Get Made,Community_Team,  Dec 29  2020  8:11:10 AM
Happy Holidays! Get a Free Twilight Mystery Box!,Natalia_GGG,  Dec 25  2020  2:59:00 PM
The Heist Flashback Event Highlights,Community_Team,  Dec 23  2020  3:35:22 AM
Streamer Interview - KittenCatNoodle,Community_Team,  Dec 21  2020  3:01:03 AM
The Flashback Event Starts This Weekend - Big Sale on Pets,Natalia_GGG,  Dec 18  2020  7:05:00 AM
Community Showcase,Natalia_GGG,  Dec 17  2020  12:27:52 AM
The Core Supporter Packs End Soon!,Natalia_GGG,  Dec 15  2020  11:07:05 PM
Divination Card Stories - The Price of Loyalty,Natalia_GGG,  Dec 14  2020  12:31:27 AM
Streamer Interview - tytykiller,Natalia_GGG,  Dec 10  2020  3:17:43 AM
Highlights from the Mayhem Event,Natalia_GGG,  Dec 8  2020  12:56:12 AM
The Mayhem Events Start Tomorrow,Natalia_GGG,  Dec 4  2020  12:59:19 AM
Hideout Competition Runners-Up,Natalia_GGG,  Dec 1  2020  11:27:57 PM
Endless Delve Starter Gear Preview,Bex_GGG,  Nov 30  2020  4:04:00 AM
Demigod's Authority Preview,Bex_GGG,  Nov 27  2020  1:54:28 AM
"They sought novelties from far and wide at her insistence, never satisfying her curiosity, her lust for conflict and contest.",Bex_GGG,  Dec 29  2020  11:40:27 PM
Highlights from the Heist Flashback Event,Natalia_GGG,  Dec 28  2020  1:00:00 AM
Harvest Supporter Packs Are Leaving the Store Soon,Community_Team,  Dec 24  2020  12:32:22 AM
Seasonal Winter Microtransactions,Community_Team,  Dec 22  2020  12:27:59 AM
"She is near, and eager to witness your struggle",Bex_GGG,  Dec 19  2020  6:00:00 AM
New Core Supporter Packs Available Now!,Natalia_GGG,  Dec 18  2020  1:14:13 AM
"Good tidings, Nomad.",Bex_GGG,  Dec 16  2020  12:53:15 AM
The Endless Delve Highlights,Natalia_GGG,  Dec 15  2020  12:17:12 AM
The Endless Delve Event Starts Soon - Super Stash Sale,Natalia_GGG,  Dec 11  2020  7:05:00 AM
The Endless Delve FAQ,Bex_GGG,  Dec 9  2020  12:13:04 AM
Divination Card Stories: The Tumbleweed,Natalia_GGG,  Dec 7  2020  12:59:36 AM
Microtransaction Concept Art,Natalia_GGG,  Dec 3  2020  12:09:14 AM
Core Packs Are Leaving The Store Soon,Natalia_GGG,  Nov 30  2020  11:39:56 PM
Thanksgiving 2020 Sale,Bex_GGG,  Nov 27  2020  7:02:23 AM
GGG is Hiring for Eight Roles,Bex_GGG,  Nov 27  2020  12:50:04 AM
Divination Card Stories - The Sigil,Bex_GGG,  Nov 26  2020  2:11:37 AM
Winners of the Hideout Competition,Natalia_GGG,  Nov 24  2020  3:16:49 AM
Super Stash Sale,Natalia_GGG,  Nov 20  2020  7:05:00 AM
Developer Interview - Concept Artist - QingYi Li,Natalia_GGG,  Nov 19  2020  4:00:37 AM
3.12.5 Patch Notes Preview,Natalia_GGG,  Nov 16  2020  11:58:10 PM
GGG is Hiring Quality Assurance Testers,Bex_GGG,  Nov 16  2020  3:22:28 AM
The Arcane Celestial Shield,Natalia_GGG,  Nov 12  2020  5:37:31 AM
"New Stygian Portal Effects - Divine, Demonic, Infernal, Ghostflame and Stormcaller",Natalia_GGG,  Nov 11  2020  5:28:15 AM
The Thunderstorm Apparition Effect,Natalia_GGG,  Nov 10  2020  5:02:00 AM
"New Pets - Corgi, Cats, Rabbits and Ducks",Natalia_GGG,  Nov 9  2020  5:28:48 AM
The Mystic Gate Portal Effect and Super Stash Sale,Natalia_GGG,  Nov 6  2020  7:05:00 AM
The Stygian Shield,Natalia_GGG,  Nov 5  2020  8:00:00 AM
The Verdant Character Effect,Natalia_GGG,  Nov 4  2020  6:02:06 AM
Flaming Head Helmet Attachments,Natalia_GGG,  Nov 3  2020  5:49:33 AM
The Overlord Weapon Skin,Natalia_GGG,  Nov 2  2020  5:46:11 AM
Path of Exile Lore: Questions and Answers - Part Two,Bex_GGG,  Nov 25  2020  3:15:24 AM
"December Events - Mayhem, Endless Delve and Flashback",Bex_GGG,  Nov 23  2020  12:43:52 AM
Community Showcase,Natalia_GGG,  Nov 20  2020  2:45:49 AM
Divination Card Stories - The Skeleton and The Bones,Natalia_GGG,  Nov 18  2020  3:33:36 AM
Hideout Competition Highlights,Natalia_GGG,  Nov 16  2020  4:46:38 AM
Angels and Demons Microtransactions on Sale This Weekend and the Dragon Apparition Effect,Natalia_GGG,  Nov 13  2020  7:05:00 AM
Path of Exile Lore: Questions and Answers - Part One,Natalia_GGG,  Nov 12  2020  2:32:12 AM
Microtransaction Concept Art,Natalia_GGG,  Nov 11  2020  1:21:46 AM
Divination Card Stories - The Fool,Natalia_GGG,  Nov 10  2020  1:05:14 AM
Hideout Competition Highlights,Natalia_GGG,  Nov 9  2020  3:01:26 AM
Zizaran's Racing Gauntlet Event Starts on November 14th!,Natalia_GGG,  Nov 6  2020  1:54:16 AM
3.12.4d Deployment and Full Patch Notes,Natalia_GGG,  Nov 5  2020  2:34:50 AM
New Stash Tab Folders and Affinities System,Bex_GGG,  Nov 4  2020  3:22:04 AM
Community Showcase,Natalia_GGG,  Nov 3  2020  2:34:47 AM
Hideout Competition Highlights,Natalia_GGG,  Nov 2  2020  2:45:37 AM
The Jack-o-'lantern Decoration and Guillotine Portal Effect,Natalia_GGG,  Oct 30  2020  11:00:00 AM
The Hallowed Grave and Dancing Skeleton Pet,Natalia_GGG,  Oct 29  2020  6:01:13 AM
Sword Through Helmet Attachment,Natalia_GGG,  Oct 28  2020  6:12:10 AM
Seasonal Halloween Microtransactions,Natalia_GGG,  Oct 27  2020  5:05:08 AM
Divination Card Stories - The Bitter Blossom,Natalia_GGG,  Oct 26  2020  2:00:00 AM
Hideout Competition,Natalia_GGG,  Oct 23  2020  12:58:44 AM
Community Racing Event This Weekend,Natalia_GGG,  Oct 22  2020  1:07:00 AM
How We're Developing Our Next Expansion Differently,Chris,  Oct 21  2020  12:11:34 AM
Winners of the Awakener Kill Event,Natalia_GGG,  Oct 20  2020  12:40:15 AM
3.12.4b Patch Notes Preview,Bex_GGG,  Oct 19  2020  2:47:34 AM
Path of Exile Community Designed Microtransaction - Poll #3,Natalia_GGG,  Oct 16  2020  2:38:38 AM
Community Showcase,Natalia_GGG,  Oct 15  2020  2:37:05 AM
3.12.4 Deployment and Full Patch Notes,Bex_GGG,  Oct 14  2020  2:31:48 AM
Angels and Demons Microtransactions are now Available in Store,Natalia_GGG,  Oct 12  2020  5:59:14 AM
"The Darkwood Armour Set and Cloak - Wings, Cloaks and Back Attachments Sale",Natalia_GGG,  Oct 9  2020  7:00:24 AM
Our Reasoning Behind the 3.13 Launch Delay,Chris,  Oct 30  2020  4:17:22 AM
3.13 Launch Delayed until January,Chris,  Oct 29  2020  1:09:30 AM
Microtransactions Concept Art,Natalia_GGG,  Oct 28  2020  3:41:18 AM
Path of Exile Community Designed Microtransaction - Poll #4,Natalia_GGG,  Oct 27  2020  3:15:16 AM
Huge Sale on Weapons and Shields This Weekend - Halloween Sale,Natalia_GGG,  Oct 23  2020  7:05:00 AM
"New Portal Effects - Necrotic Demon King Portal, Arcane Demon King Portal and Divine Demon King Portal",Natalia_GGG,  Oct 22  2020  5:51:14 AM
The Maraketh Character Effect,Natalia_GGG,  Oct 21  2020  5:25:58 AM
The Demonic Celestial Shield,Natalia_GGG,  Oct 20  2020  5:20:09 AM
The Stygian Flame Wall Effect,Natalia_GGG,  Oct 19  2020  6:26:07 AM
New Hideouts and Super Stash Sale,Natalia_GGG,  Oct 16  2020  7:00:14 AM
"New Shield Skins - Angelic Shield, Demonic Shield and Pandemonium Shield",Natalia_GGG,  Oct 15  2020  6:07:46 AM
The Fairgraves Stash Skin Bundle,Natalia_GGG,  Oct 14  2020  6:05:17 AM
Heist Lore Interesting Facts,NickK_GGG,  Oct 13  2020  1:25:30 AM
3.12.4 Patch Notes Preview,Bex_GGG,  Oct 12  2020  3:39:01 AM
What We're Working On,Bex_GGG,  Oct 9  2020  1:46:19 AM
The Darkwood Weapon Skin,Natalia_GGG,  Oct 8  2020  5:56:45 AM
The Darkwood Aura and Weapon Effect,Natalia_GGG,  Oct 7  2020  5:51:54 AM
The Darkwood Portal Effect and Footprints Effect,Natalia_GGG,  Oct 6  2020  6:26:09 AM
"New Skill Effects - Darkwood Raise Spectre, Darkwood Carrion Golem, Darkwood Volatile Dead and Divine Void Sphere",Natalia_GGG,  Oct 5  2020  5:58:59 AM
Grinding Gear Games is Hiring a Social Media Rep,Bex_GGG,  Oct 5  2020  1:49:24 AM
3.12.3 Patch Notes Preview,Natalia_GGG,  Oct 1  2020  10:45:37 PM
3.12.2b Patch Notes Preview,Natalia_GGG,  Sep 30  2020  10:14:17 PM
Recording Heist From Level 3,NickK_GGG,  Sep 30  2020  2:50:30 AM
What We're Working On: Heist Week 2,Natalia_GGG,  Sep 29  2020  9:44:02 AM
Concept Art of the Rogues,Natalia_GGG,  Sep 28  2020  3:22:30 AM
The Maw of Mischief Unique,Bex_GGG,  Sep 25  2020  12:57:56 AM
3.12.2 Patch Notes Preview,Bex_GGG,  Sep 24  2020  3:37:53 AM
What We're Working On,Bex_GGG,  Sep 23  2020  12:58:00 AM
"New Void Skill Effects - Volatile Dead, Detonate Dead and Desecrate",Natalia_GGG,  Sep 22  2020  6:50:12 AM
New Illusionist Skill Effects - Ice Nova and Glacial Cascade,Natalia_GGG,  Sep 21  2020  7:00:37 AM
The Twilight Mystery Box Concept Art,Natalia_GGG,  Oct 8  2020  3:02:25 AM
Path of Exile Community Designed Microtransaction - Poll #2,Natalia_GGG,  Oct 7  2020  4:00:58 AM
Download the Twilight Mystery Box Soundtrack For Free,Natalia_GGG,  Oct 6  2020  4:48:28 AM
Creating Materials for Path of Exile: Heist,Natalia_GGG,  Oct 5  2020  3:50:25 AM
The Temple Armour Set and Wings - Big Sale on Skill Effects This Weekend,Natalia_GGG,  Oct 2  2020  7:02:55 AM
The Temple Portal Effect,Natalia_GGG,  Oct 1  2020  4:56:27 AM
"New Temple Microtransactions - Character Effect, Lancing Steel Effect and Shattering Steel Effect",Natalia_GGG,  Sep 30  2020  6:28:35 AM
The Temple Weapon Skin and Weapon Effect,Natalia_GGG,  Sep 29  2020  11:00:53 AM
"New Skill Effects - Celestial Discharge, Automaton Ball Lightning, Transcendence Blade Vortex and Stygian Firestorm",Natalia_GGG,  Sep 28  2020  6:15:46 AM
New Glimmerwood Microtransactions and Super Stash Sale,Natalia_GGG,  Sep 25  2020  8:00:31 AM
"New Microtransactions - The Glimmerwood Weapon, Glimmerwood Shield and the Celestial Baby Elephant Pet",Natalia_GGG,  Sep 24  2020  6:04:52 AM
The Transcendence Herald Effect,Natalia_GGG,  Sep 23  2020  6:36:51 AM
Today's Hotfix for Heist,Bex_GGG,  Sep 22  2020  7:55:41 AM
Community Showcase,Natalia_GGG,  Sep 22  2020  4:15:35 AM
The Heist Brimmed Hat,Natalia_GGG,  Sep 21  2020  5:21:26 AM
Week One of Path of Exile: Heist,Bex_GGG,  Sep 21  2020  2:48:51 AM
Path of Exile: Heist Launches Soon,Bex_GGG,  Sep 18  2020  5:20:29 AM
Alternate Quality Gems in Path of Exile: Heist,Bex_GGG,  Sep 17  2020  8:38:32 AM
Our League Stash Tab Policy Going Forward,Bex_GGG,  Sep 17  2020  2:56:53 AM
Private Leagues for Path of Exile: Heist are now available!,Natalia_GGG,  Sep 15  2020  2:11:19 AM
Harvest Ends Soon - Get a Free Mystery Box When You Spend Points,Natalia_GGG,  Sep 11  2020  8:01:51 AM
Curse Skills in Path of Exile: Heist,Bex_GGG,  Sep 10  2020  4:16:15 AM
3.11.2 Technical Patch,Bex_GGG,  Sep 8  2020  2:26:12 AM
Huge Sale on Pets and Hideout Decorations This Weekend,Natalia_GGG,  Sep 4  2020  8:00:13 AM
Path of Exile: Heist FAQ and Reddit AMA,Bex_GGG,  Sep 3  2020  3:43:46 AM
Announcing Path of Exile: Heist,Bex_GGG,  Sep 2  2020  1:19:51 AM
Preview of Upcoming Supporter Packs,Bex_GGG,  Aug 31  2020  3:41:42 AM
Path of Exile in the Epic Games Store,Bex_GGG,  Aug 28  2020  2:03:40 AM
Private League Capacity Increases,Bex_GGG,  Aug 26  2020  4:22:01 AM
Community Charity Relay Event Starts on September 5th!,Natalia_GGG,  Aug 24  2020  3:03:35 AM
The Twilight Mystery Box,Natalia_GGG,  Sep 20  2020  1:00:35 AM
"macOS Official Release Delayed, Experimental Client Available",Chris,  Sep 18  2020  2:19:46 AM
Path of Exile: Heist Gem Information,Bex_GGG,  Sep 17  2020  4:23:37 AM
"Heist Patch Notes, Item Filter and Passive Tree Information",Natalia_GGG,  Sep 16  2020  10:01:00 AM
Heist Challenge Rewards,Bex_GGG,  Sep 14  2020  4:27:40 AM
New and Reworked Classic Spells & Steel Skills in Path of Exile: Heist,Bex_GGG,  Sep 11  2020  7:19:04 AM
Heist Skill Reveal: Area-Control Spells,Bex_GGG,  Sep 9  2020  4:58:04 AM
Path of Exile: Heist - Zizaran's Awakener Kill Event,Bex_GGG,  Sep 7  2020  4:07:24 AM
Path of Exile: Heist FAQ 2,Bex_GGG,  Sep 4  2020  4:28:22 AM
Path of Exile: Heist Teasers,Bex_GGG,  Sep 3  2020  1:27:07 AM
The Press Tour Is Complete,Bex_GGG,  Sep 1  2020  5:52:42 AM
Stash Tab Sale Weekend,Natalia_GGG,  Aug 28  2020  8:01:17 AM
Path of Exile Community Designed Microtransaction,Natalia_GGG,  Aug 27  2020  2:22:38 AM
What to Expect in the Coming Weeks,Bex_GGG,  Aug 25  2020  1:21:11 AM
"Racing Gauntlet Community Event This Weekend - Huge Sale on Footprints, Portals and Character Effects",Natalia_GGG,  Aug 21  2020  8:01:15 AM
Path of Exile Is Coming to macOS in September!,Natalia_GGG,  Aug 20  2020  3:00:32 AM
Patch 3.11.1f Deployment and Full Patch Notes,Bex_GGG,  Aug 18  2020  1:54:17 AM
Thaumaturgy Microtransactions on Sale This Weekend,Natalia_GGG,  Aug 14  2020  8:00:23 AM
Will Harvest Become Core Path of Exile Content?,Bex_GGG,  Aug 13  2020  2:11:22 AM
Harvest Statistics: Ascendancy Classes,Natalia_GGG,  Aug 12  2020  2:34:11 AM
Patch Notes 3.11.1f Preview,Natalia_GGG,  Aug 11  2020  2:19:19 AM
Share Your Path of Exile Memories With Us!,Natalia_GGG,  Aug 10  2020  4:14:35 AM
Community Showcase,Natalia_GGG,  Aug 7  2020  2:19:35 AM
Community Organized Event - 8 Day Racing Gauntlet Starts on August 22nd!,Natalia_GGG,  Aug 6  2020  4:54:44 AM
"Harvest Statistics: Crafts, Lifeforce and the Avatar of the Grove",Natalia_GGG,  Aug 5  2020  1:48:20 AM
Harvest Fan Art Competition Highlights,Natalia_GGG,  Aug 4  2020  1:22:08 AM
Our 3.12 Expansion Timeline,Natalia_GGG,  Aug 3  2020  1:08:33 AM
Developer Interview - Jeff - Console Producer,Natalia_GGG,  Jul 31  2020  2:16:50 AM
The Infernal Demon King Portal,Natalia_GGG,  Jul 29  2020  5:30:15 AM
Karui Bow and Quiver,Natalia_GGG,  Jul 28  2020  5:35:23 AM
"Harvest Statistics: Unique Items, Maps and the Most Deadly Areas",Natalia_GGG,  Aug 19  2020  2:20:09 AM
Harvest Fan Art Competition Runners-Up,Natalia_GGG,  Aug 17  2020  2:46:32 AM
Harvest Fan Art Competition Winners,Natalia_GGG,  Aug 14  2020  1:46:12 AM
The Arcane Horns Helmet Attachment,Natalia_GGG,  Aug 12  2020  6:35:05 AM
The Night Lotus Scourge Arrow Effect,Natalia_GGG,  Aug 11  2020  5:44:19 AM
The Celestial Arc Effect,Natalia_GGG,  Aug 10  2020  6:55:34 AM
New Skill Effects and Super Stash Sale,Natalia_GGG,  Aug 7  2020  8:05:00 AM
The Automaton Lightning Armour Set,Natalia_GGG,  Aug 6  2020  6:56:00 AM
The Doomcrow Wings,Natalia_GGG,  Aug 5  2020  5:42:20 AM
The Undead Outcast Helmet,Natalia_GGG,  Aug 4  2020  5:57:07 AM
The Afterlife Cat Pet,Natalia_GGG,  Aug 3  2020  5:33:48 AM
Huge Sale on Weapons and Shields - Get a Free Mystery Box When You Spend Points,Natalia_GGG,  Jul 31  2020  8:05:01 AM
3.11.1d Patch Notes Preview,Natalia_GGG,  Jul 30  2020  1:22:12 AM
Harvest Statistics: Challenges and Seeds,Natalia_GGG,  Jul 29  2020  2:33:00 AM
Harvest Fan Art Competition Highlights,Natalia_GGG,  Jul 28  2020  2:08:18 AM
The Clockwork Golem Pets,Natalia_GGG,  Jul 27  2020  5:59:56 AM
New Void Emperor Wings and Weekend Sales!,Rachel,  Jul 24  2020  8:01:46 AM
The Infernal Quiver and Wolf Howl Warcry,Rachel,  Jul 23  2020  6:59:55 AM
The Seraph Banner Back Attachment,Rachel,  Jul 22  2020  6:30:05 AM
The Labrador Pet,Rachel,  Jul 21  2020  5:13:48 AM
The Angels and Demons Mystery Box Concept Art,Bex_GGG,  Jul 20  2020  4:19:51 AM
Stash Tab Sale Weekend,Rachel,  Jul 17  2020  8:01:16 AM
Harvest Fan Art Competition,Bex_GGG,  Jul 16  2020  4:49:34 AM
3.11.1.c Patch Notes Preview,Bex_GGG,  Jul 15  2020  3:56:44 AM
Thaumaturgy Microtransactions Now Available In Store!,Rachel,  Jul 13  2020  4:40:41 AM
Weekend Wings and Back Attachment Sale and New Void Character Effect,Rachel,  Jul 10  2020  8:00:22 AM
The Void Portal Effect,Rachel,  Jul 9  2020  4:25:50 AM
The Void Weapon Effect and Weapon Skin,Rachel,  Jul 8  2020  5:16:45 AM
Two New Creepy Pets!,Rachel,  Jul 7  2020  4:12:34 AM
New Skill Effects for Sunder and Earthquake & the Dark Magic Weapon Skin,Rachel,  Jul 6  2020  4:48:57 AM
Path of Exile Then and Now,Bex_GGG,  Jul 27  2020  4:16:09 AM
Development Stories: Timelines & Retcons,Rachel,  Jul 24  2020  4:49:23 AM
Hideout Showcase,Rachel,  Jul 23  2020  3:44:03 AM
Harvest Fan Art Competition Highlights,Bex_GGG,  Jul 22  2020  5:21:27 AM
Developer Interview - Eben - Video Content,Bex_GGG,  Jul 21  2020  3:58:04 AM
Bloom in Path of Exile,Bex_GGG,  Jul 17  2020  8:34:26 AM
Baeclast Podcast Featuring Chris Wilson This Weekend,Bex_GGG,  Jul 17  2020  3:17:14 AM
The Thaumaturgy Hideout,Rachel,  Jul 15  2020  5:18:42 AM
Harvest Storage Tanks and Crafting Descriptions,Bex_GGG,  Jul 14  2020  4:00:59 AM
Console Winners of the Harvest Boss Kill Event,Bex_GGG,  Jul 13  2020  3:00:33 AM
The Art of GGG,Bex_GGG,  Jul 10  2020  3:15:40 AM
3.11.1b Patch Notes Preview,Bex_GGG,  Jul 9  2020  3:08:40 AM
Download the Angels and Demons Mystery Box Soundtrack For Free,Bex_GGG,  Jul 8  2020  3:53:32 AM
Community Showcase,Bex_GGG,  Jul 7  2020  2:46:26 AM
Microtransactions Concept Art,Bex_GGG,  Jul 6  2020  3:39:29 AM
Skill Effects Sale This Weekend - Get Your Free Angels and Demons Mystery Box!,Rachel,  Jul 3  2020  8:06:16 AM
Changes to Harvest Crafting,Bex_GGG,  Jul 2  2020  7:57:19 AM
Winners of the Harvest Boss Kill Event on PC - Laptop Prizes Provided by Alienware,Bex_GGG,  Jul 2  2020  1:59:19 AM
Creating Oshabi,NickK_GGG,  Jul 1  2020  2:49:52 AM
Dreadspire Weapon Skin and Weapon Effect,Natalia_GGG,  Jun 30  2020  5:12:34 AM
Upcoming Changes to Cluster Jewels,Bex_GGG,  Jun 26  2020  8:55:20 AM
What We're Working On,Bex_GGG,  Jun 26  2020  2:38:46 AM
What To Expect This Year,Bex_GGG,  Jun 25  2020  4:01:56 AM
"Announcing the Blight, Metamorph and Delirium Stash Tabs",Bex_GGG,  Jun 24  2020  3:43:13 AM
Introducing Chat for Consoles in Path of Exile: Harvest,Bex_GGG,  Jun 23  2020  3:57:58 AM
How the Harvest Launch Went,Bex_GGG,  Jun 22  2020  5:27:53 AM
The Angels and Demons Mystery Box,Natalia_GGG,  Jun 21  2020  12:50:55 AM
Harvest Boss Kill Event - What You Need To Know,Bex_GGG,  Jun 19  2020  7:11:38 AM
Path of Exile: Harvest - Cultivating Your Garden & Crafting Outcomes,Bex_GGG,  Jun 19  2020  5:14:47 AM
Updated Base Types in Path of Exile: Harvest,Bex_GGG,  Jun 18  2020  6:56:45 AM
3.11.1 Deployment and Full Patch Notes,Bex_GGG,  Jul 3  2020  1:11:47 AM
Dreadspire Cloak,Rachel,  Jul 2  2020  6:15:06 AM
Dreadspire Portal Effect,Natalia_GGG,  Jul 1  2020  5:56:52 AM
3.11.1 Patch Notes Preview,Bex_GGG,  Jun 30  2020  6:25:36 AM
Harvest Community Fan Art,Natalia_GGG,  Jun 29  2020  2:52:42 AM
The Dark Magic Armour Set and Stash Sale This Weekend,Natalia_GGG,  Jun 26  2020  8:00:40 AM
Dark Magic Weapon Effect and Dark Magic Wings,Natalia_GGG,  Jun 25  2020  6:03:10 AM
The Future of Stash Tabs,Chris,  Jun 24  2020  8:36:24 AM
The Dark Magic Aura,Natalia_GGG,  Jun 23  2020  5:49:24 AM
"New Celestial Skill Effects - Molten Strike, Tectonic Slam and Ice Nova",Natalia_GGG,  Jun 22  2020  6:34:47 AM
The Harvest Brimmed Hat,Natalia_GGG,  Jun 22  2020  2:31:35 AM
Issues With Vulkan Beta,Bex_GGG,  Jun 20  2020  12:41:12 AM
Path of Exile: Harvest Launches Soon,Bex_GGG,  Jun 19  2020  6:26:32 AM
Dynamic Particle Culling,Chris,  Jun 19  2020  4:12:09 AM
Path of Exile: Harvest Gem Information,Bex_GGG,  Jun 18  2020  5:46:11 AM
Anointing Enchantments Table in Path of Exile: Harvest,Bex_GGG,  Jun 18  2020  4:08:48 AM
All Notables and Keystones in Path of Exile: Harvest,Bex_GGG,  Jun 17  2020  6:39:06 AM
Private Leagues for Path of Exile: Harvest are now available!,Natalia_GGG,  Jun 16  2020  2:36:31 AM
More Harvest Crafting Options,Bex_GGG,  Jun 15  2020  2:53:43 AM
Harvest Challenge Rewards,Bex_GGG,  Jun 12  2020  1:00:08 AM
Preview of Harvest Crafting Options,Bex_GGG,  Jun 10  2020  1:58:11 AM
New and Changed Warcries in Path of Exile: Harvest,Bex_GGG,  Jun 8  2020  7:17:05 AM
Path of Exile: Harvest FAQ,Bex_GGG,  Jun 5  2020  4:59:50 AM
Path of Exile: Harvest Teasers,Bex_GGG,  Jun 4  2020  12:48:55 AM
The Press Tour is Complete,Bex_GGG,  Jun 2  2020  5:22:19 AM
Huge Helmet Sale This Weekend,Natalia_GGG,  May 29  2020  8:04:42 AM
3.10.2 Patch with Beta of Vulkan Renderer,Bex_GGG,  May 28  2020  6:18:17 AM
The Press Tour Has Begun!,Bex_GGG,  May 26  2020  2:03:46 AM
Super Stash Sale - Community Organized Race Events,Natalia_GGG,  May 22  2020  8:00:18 AM
The Delirium Supporter Packs Are Ending Soon,Natalia_GGG,  May 20  2020  4:01:05 AM
Get Your Dragon God Hat When You Kill Act 10 Kitava,Bex_GGG,  Jun 18  2020  2:08:14 AM
"Harvest Patch Notes, Item Filter and Passive Tree Information",Bex_GGG,  Jun 17  2020  5:06:05 AM
Slay Harvest's Ultimate Boss and Win A Laptop Provided by Alienware!,Bex_GGG,  Jun 15  2020  6:40:36 AM
Delirium Ends Soon - Get a Free Mystery Box When You Spend Points,Natalia_GGG,  Jun 12  2020  8:05:00 AM
New and Changed Slam Skills in Path of Exile: Harvest,Bex_GGG,  Jun 11  2020  5:12:18 AM
Preview of Rebalanced Unique Items in Path of Exile: Harvest,Bex_GGG,  Jun 9  2020  3:56:49 AM
Huge Sale on Pets This Weekend,Natalia_GGG,  Jun 5  2020  8:05:00 AM
New Brand Gems and Brand Changes in Path of Exile: Harvest,Bex_GGG,  Jun 4  2020  4:44:07 AM
Announcing Path of Exile: Harvest,Bex_GGG,  Jun 3  2020  1:00:00 AM
Delirium Supporter Packs Concept Art,Natalia_GGG,  Jun 1  2020  2:03:41 AM
3.10.2b Patch Notes Preview,Bex_GGG,  May 29  2020  1:09:03 AM
Delirium Uniques and Areas Statistics,Natalia_GGG,  May 27  2020  5:48:29 AM
Development Stories - The Conquerors of the Atlas,NickK_GGG,  May 25  2020  5:30:59 AM
Development Stories - Creating Synthesis Lore,NickK_GGG,  May 21  2020  4:50:45 AM
Tentative Announcement of the Announcement,Bex_GGG,  May 19  2020  1:37:10 AM
